# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-2153  [001] .... 189858.798380: tracing_mark_write: start dd
              dd-2154  [001] ...1 189858.804501: mmc_blk_open <-__blkdev_get
              dd-2154  [001] ...1 189858.804508: mmc_blk_get.isra.0 <-mmc_blk_open
              dd-2154  [001] ...1 189858.804643: mmc_init_request <-alloc_request_size
    kworker/1:1H-103   [001] d..2 189858.804699: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [002] d..2 189858.804722: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [002] d..2 189858.804726: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [002] ...1 189858.804729: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [002] ...1 189858.804730: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [002] ...1 189858.804739: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [002] ...1 189858.804741: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [002] ...1 189858.804745: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [002] ...1 189858.804749: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [002] ...1 189858.804755: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [002] ...1 189858.804758: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [002] ...1 189858.804760: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [002] ...1 189858.804768: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [002] .... 189858.804778: mmc_request_start: mmc0: start struct mmc_request[ffffffc036a43540]: cmd_opcode=24 cmd_arg=0x800 cmd_flags=0xb5 cmd_retries=0 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=1 block_size=512 blk_addr=0 data_flags=0x100 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [002] d..1 189858.804788: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [002] d..1 189858.804793: bcm2835_sdhost_send_command: read:SDCMD:0000000d
         mmcqd/0-339   [002] d..1 189858.804798: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [002] d..1 189858.804800: bcm2835_sdhost_send_command: write:SDHCFG:0000041e
         mmcqd/0-339   [002] d..1 189858.804801: bcm2835_sdhost_send_command: write:SDHBCT:00000200
         mmcqd/0-339   [002] d..1 189858.804802: bcm2835_sdhost_send_command: write:SDHBLC:00000001
         mmcqd/0-339   [002] d..1 189858.804803: bcm2835_sdhost_send_command: write:SDARG:00000800
         mmcqd/0-339   [002] d..1 189858.804806: bcm2835_sdhost_send_command: write:SDCMD:00008098
         mmcqd/0-339   [002] d..1 189858.804808: bcm2835_sdhost_finish_command: read:SDCMD:00008098
         mmcqd/0-339   [002] d..1 189858.804810: bcm2835_sdhost_finish_command: read:SDCMD:00000098
         mmcqd/0-339   [002] d..1 189858.804812: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
          <idle>-0     [003] d.h2 189858.804824: bcm2835_sdhost_irq: read:SDHSTS:00000001
         mmcqd/0-339   [002] ...1 189858.804826: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [002] ...1 189858.804827: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
          <idle>-0     [003] d.h2 189858.804828: bcm2835_sdhost_irq: write:SDHSTS:00000701
         mmcqd/0-339   [002] ...1 189858.804828: mmc_start_areq <-mmc_blk_issue_rw_rq
          <idle>-0     [003] d.h2 189858.804830: bcm2835_sdhost_irq: write:SDHCFG:0000050e
          <idle>-0     [003] d.h3 189858.804835: bcm2835_sdhost_transfer_pio: read:SDEDM:0001080a
          <idle>-0     [003] d.h3 189858.804837: bcm2835_sdhost_transfer_pio: write:SDDATA:8de9688d
          <idle>-0     [003] d.h3 189858.804838: bcm2835_sdhost_transfer_pio: write:SDDATA:114226a3
          <idle>-0     [003] d.h3 189858.804839: bcm2835_sdhost_transfer_pio: write:SDDATA:7b2d9a69
          <idle>-0     [003] d.h3 189858.804840: bcm2835_sdhost_transfer_pio: write:SDDATA:2a5aa09d
          <idle>-0     [003] d.h3 189858.804841: bcm2835_sdhost_transfer_pio: write:SDDATA:7963eb1a
          <idle>-0     [003] d.h3 189858.804842: bcm2835_sdhost_transfer_pio: write:SDDATA:d4a49cb0
          <idle>-0     [003] d.h3 189858.804843: bcm2835_sdhost_transfer_pio: write:SDDATA:3064c5b6
