# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-2915  [000] .... 250306.972665: tracing_mark_write: start dd
              dd-2916  [003] ...1 250306.977741: mmc_blk_open <-__blkdev_get
              dd-2916  [003] ...1 250306.977748: mmc_blk_get.isra.0 <-mmc_blk_open
              dd-2916  [003] ...1 250306.977844: mmc_init_request <-alloc_request_size
    kworker/3:1H-100   [003] d..2 250306.977896: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [000] d..2 250306.977913: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [000] d..2 250306.977918: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [000] ...1 250306.977922: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [000] ...1 250306.977925: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [000] ...1 250306.977936: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [000] ...1 250306.977938: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [000] ...1 250306.977940: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [000] ...1 250306.977942: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [000] ...1 250306.977946: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [000] ...1 250306.977948: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [000] ...1 250306.977950: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [000] ...1 250306.977956: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [000] .... 250306.977967: mmc_request_start: mmc0: start struct mmc_request[ffffffc03715c540]: cmd_opcode=24 cmd_arg=0x800 cmd_flags=0xb5 cmd_retries=0 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=1 block_size=512 blk_addr=0 data_flags=0x100 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [000] d..1 250306.977979: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [000] d..1 250306.977987: bcm2835_sdhost_send_command: read:SDCMD:0000000d
         mmcqd/0-339   [000] d..1 250306.977991: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [000] d..1 250306.977994: bcm2835_sdhost_send_command: write:SDHCFG:0000041e
         mmcqd/0-339   [000] d..1 250306.977995: bcm2835_sdhost_send_command: write:SDHBCT:00000200
         mmcqd/0-339   [000] d..1 250306.977996: bcm2835_sdhost_send_command: write:SDHBLC:00000001
         mmcqd/0-339   [000] d..1 250306.977997: bcm2835_sdhost_send_command: write:SDARG:00000800
         mmcqd/0-339   [000] d..1 250306.978000: bcm2835_sdhost_send_command: write:SDCMD:00008098
         mmcqd/0-339   [000] d..1 250306.978002: bcm2835_sdhost_finish_command: read:SDCMD:00008098
         mmcqd/0-339   [000] d..1 250306.978003: bcm2835_sdhost_finish_command: read:SDCMD:00008098
         mmcqd/0-339   [000] d..1 250306.978004: bcm2835_sdhost_finish_command: read:SDCMD:00000098
         mmcqd/0-339   [000] d..1 250306.978006: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
         mmcqd/0-339   [000] ...1 250306.978011: mmc_blk_issue_rq <-mmc_queue_thread
          <idle>-0     [002] d.h2 250306.978011: bcm2835_sdhost_irq: read:SDHSTS:00000001
         mmcqd/0-339   [000] ...1 250306.978012: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [000] ...1 250306.978013: mmc_start_areq <-mmc_blk_issue_rw_rq
          <idle>-0     [002] d.h2 250306.978015: bcm2835_sdhost_irq: write:SDHSTS:00000701
          <idle>-0     [002] d.h2 250306.978017: bcm2835_sdhost_irq: write:SDHCFG:0000050e
          <idle>-0     [002] d.h3 250306.978022: bcm2835_sdhost_transfer_pio: read:SDEDM:0001080a
          <idle>-0     [002] d.h3 250306.978024: bcm2835_sdhost_transfer_pio: write:SDDATA:e8c38ba7
          <idle>-0     [002] d.h3 250306.978025: bcm2835_sdhost_transfer_pio: write:SDDATA:9ad03d9a
          <idle>-0     [002] d.h3 250306.978026: bcm2835_sdhost_transfer_pio: write:SDDATA:d0829ea4
          <idle>-0     [002] d.h3 250306.978027: bcm2835_sdhost_transfer_pio: write:SDDATA:0eb873fa
          <idle>-0     [002] d.h3 250306.978028: bcm2835_sdhost_transfer_pio: write:SDDATA:6be13bba
          <idle>-0     [002] d.h3 250306.978029: bcm2835_sdhost_transfer_pio: write:SDDATA:592f14d0
          <idle>-0     [002] d.h3 250306.978030: bcm2835_sdhost_transfer_pio: write:SDDATA:bacaab32
          <idle>-0     [002] d.h3 250306.978032: bcm2835_sdhost_transfer_pio: write:SDDATA:57dec874
          <idle>-0     [002] d.h3 250306.978033: bcm2835_sdhost_transfer_pio: write:SDDATA:8a43ef9a
          <idle>-0     [002] d.h3 250306.978034: bcm2835_sdhost_transfer_pio: write:SDDATA:b5d5b1c3
          <idle>-0     [002] d.h3 250306.978035: bcm2835_sdhost_transfer_pio: write:SDDATA:64039eb5
          <idle>-0     [002] d.h3 250306.978036: bcm2835_sdhost_transfer_pio: write:SDDATA:bc44eac9
