# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3761  [000] .... 259068.723055: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
     irq/77-mmc1-93    [002] ...1 259068.904522: mmc_io_rw_direct <-process_sdio_pending_irqs
     irq/77-mmc1-93    [002] ...1 259068.904534: mmc_io_rw_direct_host <-mmc_io_rw_direct
     irq/77-mmc1-93    [002] ...1 259068.904536: mmc_wait_for_cmd <-mmc_io_rw_direct_host
     irq/77-mmc1-93    [002] ...1 259068.904537: mmc_wait_for_req <-mmc_wait_for_cmd
     irq/77-mmc1-93    [002] ...1 259068.904539: mmc_start_request <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259068.904541: mmc_retune_hold <-mmc_start_request
     irq/77-mmc1-93    [002] ...1 259068.904544: mmc_retune <-__mmc_start_request
     irq/77-mmc1-93    [002] ...1 259068.904568: mmc_wait_for_req_done <-mmc_wait_for_req
          <idle>-0     [000] ..s2 259068.904594: mmc_request_done <-bcm2835_mmc_tasklet_finish
          <idle>-0     [000] ..s2 259068.904605: mmc_wait_done <-mmc_request_done
     irq/77-mmc1-93    [002] ...1 259068.904620: mmc_retune_release <-mmc_wait_for_req_done
     irq/77-mmc1-93    [002] ...1 259068.904631: mmc_io_rw_extended <-sdio_io_rw_ext_helper
     irq/77-mmc1-93    [002] ...1 259068.904633: mmc_set_data_timeout <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259068.904634: mmc_wait_for_req <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259068.904635: mmc_start_request <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259068.904636: mmc_retune_hold <-mmc_start_request
     irq/77-mmc1-93    [002] ...1 259068.904638: mmc_retune <-__mmc_start_request
     irq/77-mmc1-93    [002] ...1 259068.904658: mmc_wait_for_req_done <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ..s2 259068.904670: mmc_request_done <-bcm2835_mmc_tasklet_finish
     irq/77-mmc1-93    [002] ..s2 259068.904672: mmc_wait_done <-mmc_request_done
     irq/77-mmc1-93    [002] ...1 259068.904675: mmc_retune_release <-mmc_wait_for_req_done
     irq/77-mmc1-93    [002] ...1 259068.904678: mmc_io_rw_extended <-sdio_io_rw_ext_helper
     irq/77-mmc1-93    [002] ...1 259068.904679: mmc_set_data_timeout <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259068.904679: mmc_wait_for_req <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259068.904680: mmc_start_request <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259068.904681: mmc_retune_hold <-mmc_start_request
     irq/77-mmc1-93    [002] ...1 259068.904682: mmc_retune <-__mmc_start_request
     irq/77-mmc1-93    [002] ...1 259068.904693: mmc_wait_for_req_done <-mmc_wait_for_req
          iozone-3762  [003] ..s1 259068.904709: mmc_request_done <-bcm2835_mmc_tasklet_finish
          iozone-3762  [003] ..s1 259068.904714: mmc_wait_done <-mmc_request_done
