# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-2955  [002] .... 250307.668878: tracing_mark_write: start dd
              dd-2956  [001] ...1 250307.674256: mmc_blk_open <-__blkdev_get
              dd-2956  [001] ...1 250307.674262: mmc_blk_get.isra.0 <-mmc_blk_open
              dd-2956  [001] ...1 250307.674368: mmc_init_request <-alloc_request_size
    kworker/1:1H-103   [001] d..2 250307.674414: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [003] d..2 250307.674441: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [003] d..2 250307.674444: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [003] ...1 250307.674447: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [003] ...1 250307.674448: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 250307.674455: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 250307.674457: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 250307.674459: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 250307.674462: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 250307.674465: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 250307.674468: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [003] ...1 250307.674478: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [003] ...1 250307.674486: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [003] .... 250307.674502: mmc_request_start: mmc0: start struct mmc_request[ffffffc037299140]: cmd_opcode=24 cmd_arg=0x800 cmd_flags=0xb5 cmd_retries=0 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=1 block_size=512 blk_addr=0 data_flags=0x100 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [003] d..1 250307.674511: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [003] d..1 250307.674516: bcm2835_sdhost_send_command: read:SDCMD:0000000d
