# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3794  [001] .... 259071.070966: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
     irq/77-mmc1-93    [002] ...1 259071.362069: mmc_io_rw_direct <-process_sdio_pending_irqs
     irq/77-mmc1-93    [002] ...1 259071.362076: mmc_io_rw_direct_host <-mmc_io_rw_direct
     irq/77-mmc1-93    [002] ...1 259071.362080: mmc_wait_for_cmd <-mmc_io_rw_direct_host
     irq/77-mmc1-93    [002] ...1 259071.362083: mmc_wait_for_req <-mmc_wait_for_cmd
     irq/77-mmc1-93    [002] ...1 259071.362087: mmc_start_request <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259071.362088: mmc_retune_hold <-mmc_start_request
     irq/77-mmc1-93    [002] ...1 259071.362093: mmc_retune <-__mmc_start_request
     irq/77-mmc1-93    [002] ...1 259071.362120: mmc_wait_for_req_done <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ..s2 259071.362132: mmc_request_done <-bcm2835_mmc_tasklet_finish
     irq/77-mmc1-93    [002] ..s2 259071.362138: mmc_wait_done <-mmc_request_done
     irq/77-mmc1-93    [002] ...1 259071.362155: mmc_retune_release <-mmc_wait_for_req_done
     irq/77-mmc1-93    [002] ...1 259071.362166: mmc_io_rw_extended <-sdio_io_rw_ext_helper
     irq/77-mmc1-93    [002] ...1 259071.362169: mmc_set_data_timeout <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259071.362170: mmc_wait_for_req <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259071.362171: mmc_start_request <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259071.362171: mmc_retune_hold <-mmc_start_request
     irq/77-mmc1-93    [002] ...1 259071.362173: mmc_retune <-__mmc_start_request
     irq/77-mmc1-93    [002] ...1 259071.362186: mmc_wait_for_req_done <-mmc_wait_for_req
          <idle>-0     [003] ..s2 259071.362202: mmc_request_done <-bcm2835_mmc_tasklet_finish
          <idle>-0     [003] ..s2 259071.362208: mmc_wait_done <-mmc_request_done
     irq/77-mmc1-93    [002] ...1 259071.362218: mmc_retune_release <-mmc_wait_for_req_done
     irq/77-mmc1-93    [002] ...1 259071.362224: mmc_io_rw_extended <-sdio_io_rw_ext_helper
     irq/77-mmc1-93    [002] ...1 259071.362225: mmc_set_data_timeout <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259071.362225: mmc_wait_for_req <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259071.362226: mmc_start_request <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259071.362227: mmc_retune_hold <-mmc_start_request
     irq/77-mmc1-93    [002] ...1 259071.362228: mmc_retune <-__mmc_start_request
     irq/77-mmc1-93    [002] ...1 259071.362239: mmc_wait_for_req_done <-mmc_wait_for_req
          <idle>-0     [001] ..s2 259071.362253: mmc_request_done <-bcm2835_mmc_tasklet_finish
          <idle>-0     [001] ..s2 259071.362258: mmc_wait_done <-mmc_request_done
     irq/77-mmc1-93    [002] ...1 259071.362268: mmc_retune_release <-mmc_wait_for_req_done
     irq/77-mmc1-93    [002] ...1 259071.362294: mmc_release_host <-sdio_run_irqs
    kworker/u8:0-3714  [003] ...1 259071.362313: mmc_io_rw_direct <-sdio_writeb
    kworker/u8:0-3714  [003] ...1 259071.362315: mmc_io_rw_direct_host <-mmc_io_rw_direct
    kworker/u8:0-3714  [003] ...1 259071.362316: mmc_wait_for_cmd <-mmc_io_rw_direct_host
    kworker/u8:0-3714  [003] ...1 259071.362316: mmc_wait_for_req <-mmc_wait_for_cmd
    kworker/u8:0-3714  [003] ...1 259071.362317: mmc_start_request <-mmc_wait_for_req
    kworker/u8:0-3714  [003] ...1 259071.362318: mmc_retune_hold <-mmc_start_request
    kworker/u8:0-3714  [003] ...1 259071.362319: mmc_retune <-__mmc_start_request
    kworker/u8:0-3714  [003] ...1 259071.362326: mmc_wait_for_req_done <-mmc_wait_for_req
    kworker/u8:0-3714  [003] ..s2 259071.362333: mmc_request_done <-bcm2835_mmc_tasklet_finish
    kworker/u8:0-3714  [003] ..s2 259071.362335: mmc_wait_done <-mmc_request_done
    kworker/u8:0-3714  [003] ...1 259071.362344: mmc_retune_release <-mmc_wait_for_req_done
    kworker/u8:0-3714  [003] ...1 259071.362346: mmc_io_rw_direct <-sdio_readb
    kworker/u8:0-3714  [003] ...1 259071.362347: mmc_io_rw_direct_host <-mmc_io_rw_direct
    kworker/u8:0-3714  [003] ...1 259071.362348: mmc_wait_for_cmd <-mmc_io_rw_direct_host
    kworker/u8:0-3714  [003] ...1 259071.362349: mmc_wait_for_req <-mmc_wait_for_cmd
    kworker/u8:0-3714  [003] ...1 259071.362350: mmc_start_request <-mmc_wait_for_req
    kworker/u8:0-3714  [003] ...1 259071.362351: mmc_retune_hold <-mmc_start_request
    kworker/u8:0-3714  [003] ...1 259071.362352: mmc_retune <-__mmc_start_request
    kworker/u8:0-3714  [003] ...1 259071.362357: mmc_wait_for_req_done <-mmc_wait_for_req
          <idle>-0     [000] ..s2 259071.362365: mmc_request_done <-bcm2835_mmc_tasklet_finish
          <idle>-0     [000] ..s2 259071.362370: mmc_wait_done <-mmc_request_done
    kworker/u8:0-3714  [000] ...1 259071.362397: mmc_retune_release <-mmc_wait_for_req_done
    kworker/u8:0-3714  [000] ...1 259071.362405: mmc_release_host <-sdio_release_host
    kworker/u8:0-3714  [000] ...1 259071.362420: mmc_io_rw_extended <-sdio_io_rw_ext_helper
    kworker/u8:0-3714  [000] ...1 259071.362421: mmc_set_data_timeout <-mmc_io_rw_extended
    kworker/u8:0-3714  [000] ...1 259071.362422: mmc_wait_for_req <-mmc_io_rw_extended
    kworker/u8:0-3714  [000] ...1 259071.362423: mmc_start_request <-mmc_wait_for_req
    kworker/u8:0-3714  [000] ...1 259071.362424: mmc_retune_hold <-mmc_start_request
    kworker/u8:0-3714  [000] ...1 259071.362425: mmc_retune <-__mmc_start_request
    kworker/u8:0-3714  [000] ...1 259071.362437: mmc_wait_for_req_done <-mmc_wait_for_req
          iozone-3795  [002] ..s1 259071.362449: mmc_request_done <-bcm2835_mmc_tasklet_finish
          iozone-3795  [002] ..s1 259071.362452: mmc_wait_done <-mmc_request_done
    kworker/u8:0-3714  [000] ...1 259071.362461: mmc_retune_release <-mmc_wait_for_req_done
    kworker/u8:0-3714  [000] ...1 259071.362481: mmc_io_rw_extended <-sdio_io_rw_ext_helper
